Trace,Latitude,Longitude,Altitude
167,52.2254934,6.6932605,-0.03
168,52.2254934,6.6932605,-0.03
169,52.2254934,6.6932605,-0.03
170,52.2254934,6.6932605,-0.03
171,52.2254934,6.6932605,-0.03
172,52.2254934,6.6932605,-0.03
173,52.2254934,6.6932605,-0.03
174,52.2254934,6.6932605,-0.03
175,52.2254934,6.6932605,-0.03
176,52.2254934,6.6932605,-0.03
177,52.2254934,6.6932605,-0.03
178,52.2254934,6.6932605,-0.03
179,52.2254934,6.6932605,-0.03
180,52.2254934,6.6932608,-0.03
181,52.2254934,6.6932608,-0.03
182,52.2254934,6.6932608,-0.03
183,52.2254934,6.6932608,-0.03
184,52.2254934,6.6932608,-0.03
185,52.2254934,6.6932608,-0.03
186,52.2254935,6.693261,-0.03
187,52.2254935,6.693261,-0.03
188,52.2254935,6.693261,-0.03
189,52.2254935,6.693261,-0.03
190,52.2254935,6.693261,-0.03
191,52.2254935,6.693261,-0.03
192,52.2254935,6.693261,-0.03
193,52.2254935,6.693261,-0.03
194,52.2254935,6.693261,-0.03
195,52.2254935,6.693261,-0.03
196,52.2254935,6.693261,-0.03
197,52.2254935,6.693261,-0.03
198,52.2254935,6.693261,-0.03
199,52.2254935,6.693261,-0.03
200,52.2254935,6.693261,-0.03
201,52.2254935,6.693261,-0.03
202,52.2254935,6.693261,-0.03
203,52.2254935,6.693261,-0.03
204,52.2254935,6.693261,-0.03
205,52.2254935,6.693261,-0.03
206,52.2254935,6.693261,-0.03
207,52.2254935,6.693261,-0.03
208,52.2254935,6.693261,-0.03
209,52.2254935,6.693261,-0.03
210,52.2254934,6.6932611,-0.03
211,52.2254934,6.6932611,-0.03
212,52.2254934,6.6932611,-0.03
213,52.2254934,6.6932611,-0.03
214,52.2254934,6.6932611,-0.03
215,52.2254934,6.6932611,-0.03
216,52.2254934,6.6932611,-0.03
217,52.2254934,6.6932613,-0.03
218,52.2254934,6.6932613,-0.03
219,52.2254934,6.6932613,-0.03
220,52.2254934,6.6932613,-0.03
221,52.2254934,6.6932613,-0.03
222,52.2254934,6.6932614,-0.03
223,52.2254934,6.6932614,-0.03
224,52.2254934,6.6932614,-0.03
225,52.2254934,6.6932614,-0.03
226,52.2254934,6.6932614,-0.03
227,52.2254934,6.6932614,-0.03
228,52.2254934,6.6932616,-0.03
229,52.2254934,6.6932616,-0.03
230,52.2254934,6.6932616,-0.03
231,52.2254934,6.6932616,-0.03
232,52.2254934,6.6932616,-0.03
233,52.2254934,6.6932617,-0.03
234,52.2254934,6.6932617,-0.03
235,52.2254934,6.6932617,-0.03
236,52.2254934,6.6932617,-0.03
237,52.2254934,6.6932617,-0.03
238,52.2254934,6.6932617,-0.03
239,52.2254933,6.6932618,-0.03
240,52.2254933,6.6932618,-0.03
241,52.2254933,6.6932618,-0.03
242,52.2254933,6.6932618,-0.03
243,52.2254933,6.6932618,-0.03
244,52.2254933,6.6932618,-0.03
245,52.2254933,6.6932618,-0.03
246,52.2254933,6.6932618,-0.03
247,52.2254933,6.6932618,-0.03
248,52.2254933,6.6932618,-0.03
249,52.2254933,6.6932619,-0.03
250,52.2254933,6.6932619,-0.03
251,52.2254933,6.6932619,-0.03
252,52.2254933,6.6932619,-0.03
253,52.2254933,6.6932619,-0.03
254,52.2254933,6.6932619,-0.03
255,52.2254933,6.6932621,-0.03
256,52.2254933,6.6932621,-0.03
257,52.2254933,6.6932621,-0.03
258,52.2254933,6.6932621,-0.03
259,52.2254933,6.6932621,-0.03
260,52.2254933,6.6932621,-0.03
261,52.2254933,6.6932621,-0.03
262,52.2254933,6.6932621,-0.03
263,52.2254933,6.6932621,-0.03
264,52.2254933,6.6932621,-0.03
265,52.2254933,6.6932621,-0.03
266,52.2254933,6.6932621,-0.03
267,52.2254933,6.6932621,-0.03
268,52.2254933,6.6932621,-0.03
269,52.2254933,6.6932621,-0.03
270,52.2254933,6.6932621,-0.03
271,52.2254933,6.6932622,-0.03
272,52.2254933,6.6932622,-0.03
273,52.2254933,6.6932622,-0.03
274,52.2254933,6.6932622,-0.03
275,52.2254933,6.6932622,-0.03
276,52.2254933,6.6932622,-0.03
277,52.2254933,6.6932622,-0.03
278,52.2254933,6.6932622,-0.03
279,52.2254933,6.6932622,-0.03
280,52.2254933,6.6932623,-0.03
281,52.2254933,6.6932623,-0.03
282,52.2254933,6.6932623,-0.03
283,52.2254933,6.6932623,-0.03
284,52.2254933,6.6932623,-0.03
285,52.2254933,6.6932623,-0.03
286,52.2254933,6.6932623,-0.03
287,52.2254933,6.6932623,-0.03
288,52.2254933,6.6932623,-0.03
289,52.2254933,6.6932623,-0.03
290,52.2254933,6.6932623,-0.03
291,52.2254933,6.6932623,-0.03
292,52.2254933,6.6932624,-0.03
293,52.2254933,6.6932624,-0.03
294,52.2254933,6.6932624,-0.03
295,52.2254933,6.6932624,-0.03
296,52.2254933,6.6932624,-0.03
297,52.2254933,6.6932624,-0.03
298,52.2254933,6.6932624,-0.03
299,52.2254932,6.6932626,-0.03
300,52.2254932,6.6932626,-0.03
301,52.2254932,6.6932626,-0.03
302,52.2254932,6.6932626,-0.03
303,52.2254932,6.6932626,-0.03
304,52.2254932,6.6932626,-0.03
305,52.2254932,6.6932626,-0.03
306,52.2254932,6.6932626,-0.03
307,52.2254932,6.6932626,-0.03
308,52.2254932,6.6932626,-0.03
309,52.2254932,6.6932626,-0.03
310,52.2254932,6.6932626,-0.03
311,52.2254932,6.6932626,-0.03
312,52.2254932,6.6932626,-0.03
313,52.2254932,6.6932626,-0.03
314,52.2254932,6.6932627,-0.03
315,52.2254932,6.6932627,-0.03
316,52.2254932,6.6932627,-0.03
317,52.2254932,6.6932627,-0.03
318,52.2254932,6.6932627,-0.03
319,52.2254932,6.6932627,-0.03
320,52.2254932,6.6932627,-0.03
321,52.2254932,6.6932627,-0.03
322,52.2254932,6.6932627,-0.03
323,52.2254932,6.6932627,-0.03
324,52.2254932,6.6932627,-0.03
325,52.2254932,6.6932627,-0.03
326,52.2254932,6.6932626,-0.03
327,52.2254932,6.6932626,-0.03
328,52.2254932,6.6932626,-0.03
329,52.2254932,6.6932626,-0.03
330,52.2254932,6.6932626,-0.03
331,52.2254932,6.6932626,-0.03
332,52.2254932,6.6932626,-0.03
333,52.2254932,6.6932626,-0.03
334,52.2254932,6.6932626,-0.03
335,52.2254932,6.6932626,-0.03
336,52.2254932,6.6932626,-0.03
337,52.2254932,6.6932626,-0.03
338,52.2254931,6.6932627,-0.03
339,52.2254931,6.6932627,-0.03
340,52.2254931,6.6932627,-0.03
341,52.2254931,6.6932627,-0.03
342,52.2254931,6.6932627,-0.03
343,52.2254931,6.6932627,-0.03
344,52.2254931,6.6932627,-0.03
345,52.2254931,6.6932627,-0.03
346,52.2254931,6.6932628,-0.03
347,52.2254931,6.6932628,-0.03
348,52.2254931,6.6932628,-0.03
349,52.2254931,6.6932628,-0.03
350,52.2254931,6.6932628,-0.03
351,52.2254931,6.6932628,-0.03
352,52.2254931,6.6932628,-0.03
353,52.2254931,6.6932628,-0.03
354,52.2254931,6.6932628,-0.03
355,52.2254931,6.6932628,-0.03
356,52.2254931,6.6932628,-0.03
357,52.225493,6.6932628,-0.03
358,52.225493,6.6932628,-0.03
359,52.225493,6.6932628,-0.03
360,52.225493,6.6932628,-0.03
361,52.225493,6.6932628,-0.03
362,52.225493,6.6932628,-0.03
363,52.225493,6.6932628,-0.03
364,52.225493,6.6932628,-0.03
365,52.225493,6.6932628,-0.03
366,52.225493,6.6932628,-0.03
367,52.225493,6.6932628,-0.03
368,52.225493,6.6932628,-0.03
369,52.225493,6.6932628,-0.03
370,52.225493,6.6932628,-0.03
371,52.225493,6.6932628,-0.03
372,52.225493,6.6932629,-0.03
373,52.225493,6.6932629,-0.03
374,52.225493,6.6932629,-0.03
375,52.225493,6.6932629,-0.03
376,52.225493,6.6932629,-0.03
377,52.225493,6.6932629,-0.03
378,52.225493,6.6932629,-0.03
379,52.225493,6.6932629,-0.03
380,52.225493,6.6932629,-0.03
381,52.2254929,6.6932629,-0.03
382,52.2254929,6.6932629,-0.03
383,52.2254929,6.6932629,-0.03
384,52.2254929,6.6932629,-0.03
385,52.2254929,6.6932629,-0.03
386,52.2254929,6.6932629,-0.03
387,52.2254929,6.6932629,-0.03
388,52.2254929,6.6932629,-0.03
389,52.2254929,6.693263,-0.03
390,52.2254929,6.693263,-0.03
391,52.2254929,6.693263,-0.03
392,52.2254929,6.693263,-0.03
393,52.2254929,6.693263,-0.03
394,52.2254929,6.693263,-0.03
395,52.2254929,6.693263,-0.03
396,52.2254929,6.693263,-0.03
397,52.2254929,6.693263,-0.03
398,52.2254929,6.693263,-0.03
399,52.2254929,6.693263,-0.03
400,52.2254928,6.6932631,-0.03
401,52.2254928,6.6932631,-0.03
402,52.2254928,6.6932631,-0.03
403,52.2254928,6.6932631,-0.03
404,52.2254928,6.6932631,-0.03
405,52.2254928,6.6932631,-0.03
406,52.2254928,6.6932631,-0.03
407,52.2254928,6.6932631,-0.03
408,52.2254928,6.6932631,-0.03
409,52.2254928,6.6932632,-0.03
410,52.2254928,6.6932632,-0.03
411,52.2254928,6.6932632,-0.03
412,52.2254928,6.6932632,-0.03
413,52.2254928,6.6932632,-0.03
414,52.2254928,6.6932632,-0.03
415,52.2254928,6.6932632,-0.03
416,52.2254928,6.6932632,-0.03
417,52.2254928,6.6932632,-0.03
418,52.2254928,6.6932632,-0.03
419,52.2254928,6.6932632,-0.03
420,52.2254928,6.6932633,-0.03
421,52.2254928,6.6932633,-0.03
422,52.2254928,6.6932633,-0.03
423,52.2254928,6.6932633,-0.03
424,52.2254928,6.6932633,-0.03
425,52.2254928,6.6932633,-0.03
426,52.2254927,6.6932633,-0.03
427,52.2254927,6.6932633,-0.03
428,52.2254927,6.6932633,-0.03
429,52.2254927,6.6932633,-0.03
430,52.2254927,6.6932633,-0.03
431,52.2254927,6.6932633,-0.03
432,52.2254927,6.6932633,-0.03
433,52.2254927,6.6932633,-0.03
434,52.2254927,6.6932633,-0.03
435,52.2254927,6.6932633,-0.03
436,52.2254927,6.6932633,-0.03
437,52.2254927,6.6932634,-0.03
438,52.2254927,6.6932634,-0.03
439,52.2254927,6.6932634,-0.03
440,52.2254927,6.6932634,-0.03
441,52.2254927,6.6932634,-0.03
442,52.2254927,6.6932634,-0.03
443,52.2254927,6.6932634,-0.03
444,52.2254927,6.6932634,-0.03
445,52.2254927,6.6932634,-0.03
446,52.2254927,6.6932634,-0.03
447,52.2254927,6.6932634,-0.03
448,52.2254927,6.6932634,-0.03
449,52.2254927,6.6932634,-0.03
450,52.2254927,6.6932634,-0.03
451,52.2254927,6.6932634,-0.03
452,52.2254927,6.6932635,-0.03
453,52.2254927,6.6932635,-0.03
454,52.2254927,6.6932635,-0.03
455,52.2254927,6.6932635,-0.03
456,52.2254927,6.6932635,-0.03
457,52.2254927,6.6932635,-0.03
458,52.2254927,6.6932635,-0.03
459,52.2254927,6.6932635,-0.03
460,52.2254927,6.6932635,-0.03
461,52.2254927,6.6932635,-0.03
462,52.2254927,6.6932635,-0.03
463,52.2254926,6.6932635,-0.03
464,52.2254926,6.6932635,-0.03
465,52.2254926,6.6932635,-0.03
466,52.2254926,6.6932635,-0.03
467,52.2254926,6.6932635,-0.03
468,52.2254926,6.6932635,-0.03
469,52.2254926,6.6932636,-0.03
470,52.2254926,6.6932636,-0.03
471,52.2254926,6.6932636,-0.03
472,52.2254926,6.6932636,-0.03
473,52.2254926,6.6932636,-0.03
